dish,mood,dayStatus,craving,diet,cuisines
Whopper Jr Veg+ Crispy Veg.,Stressed,Productive,Light,Veg,North Indian
"2 BK Veggie Burgers,",Tired,Lazy,Sweet,Non-Veg,Fast Food
Crispy Chicken + Crunchy Chicken Taco.,Tired,Normal,Sweet,Non-Veg,North Indian
BK Veggie Burger + Veg Taco.,Happy,Hectic,Light,Non-Veg,Fast Food
Veg Makhani Burst Burger+ Medium Peri Peri Fries.,Stressed,Hectic,Sweet,Veg,Fast Food
Crispy Chicken + Chicken Nuggets (4Pcs).,Stressed,Normal,Light,Non-Veg,North Indian
BK Veggie Burger + Crispy Veg Burger.,Stressed,Hectic,Light,Non-Veg,Fast Food
Crispy Chicken Burger+Fries(M),Stressed,Productive,Heavy,Non-Veg,Fast Food
"2 Crunchy Veg Taco+Fries(M),",Tired,Hectic,Light,Veg,Fast Food
Crispy Chicken + Med Fries.,Happy,Hectic,Sweet,Non-Veg,Fast Food
Crispy Veg Double Patty Burger+Veg Crunchy Taco.,Stressed,Hectic,Sweet,Veg,Fast Food
Veg Whopper Jr + BK Veg Pizza Puff.,Happy,Normal,Spicy,Veg,Fast Food
Chicken Makhani Burst Burger+Fries(Reg)+Peri Peri Sachet.,Stressed,Lazy,Spicy,Non-Veg,Fast Food
Crispy Veg Double Patty Burger+Fries(M),Tired,Lazy,Light,Veg,Fast Food
1Crispy Veg Double Patty + 1Med Fries.,Stressed,Normal,Light,Veg,Fast Food
Crispy Chicken Burger+Peri Peri Fries(Reg).,Sad,Lazy,Sweet,Non-Veg,Fast Food
BK Veggie Burger+Veg Makhani Burst Burger.,Sad,Lazy,Light,Non-Veg,Fast Food
BK Veggie Burger + BK Veg Pizza Puff.,Happy,Hectic,Heavy,Non-Veg,Fast Food
"2 Veg Whopper Jr,",Happy,Normal,Heavy,Veg,North Indian
2 Jr Veg Whopper,Happy,Normal,Heavy,Veg,North Indian
"Crispy Chicken Double Patty Burger+Crunchy Chicken Taco,",Sad,Productive,Spicy,Non-Veg,Fast Food
"3 Veg Makhani Burst Burger,",Stressed,Hectic,Light,Veg,Fast Food
"Crispy Chicken Burger + BK Chicken Burger,",Happy,Hectic,Light,Non-Veg,Fast Food
"2 Crunchy Chicken Taco,",Stressed,Lazy,Heavy,Non-Veg,North Indian
"2 Veg Crunchy Tacos+Crispy Veg Burger,",Happy,Lazy,Heavy,Veg,Fast Food
"Veg Whopper Jr + Crunchy Veg Taco,",Stressed,Hectic,Heavy,Veg,North Indian
"Chocolate Thick Shake + Crispy Veg Burger,",Stressed,Lazy,Heavy,Veg,Fast Food
"Crispy Chicken+Crunchy Chicken Nuggets(6Pcs),",Tired,Lazy,Spicy,Non-Veg,North Indian
"BK Chicken+Crunchy Chicken Nuggets(4pcs),",Stressed,Hectic,Spicy,Non-Veg,North Indian
Paneer Royale Wrap+BK Veggie Burger.,Tired,Hectic,Spicy,Non-Veg,North Indian
Boneless Wings(7pcs)+Fiery Hell Dip.,Happy,Productive,Spicy,Veg,North Indian
Original Whopper Chicken+Fries(M).,Tired,Normal,Sweet,Non-Veg,Fast Food
Original Whopper Veg Meal(Reg).,Sad,Hectic,Sweet,Veg,North Indian
Original Whopper Veg+Peri Peri Fries(M).,Tired,Normal,Heavy,Veg,Fast Food
Original Whopper Chicken+4pcs Crunchy Chicken Nuggets.,Stressed,Normal,Heavy,Non-Veg,North Indian
Original Whopper Veg+BK Veggie Burger.,Stressed,Productive,Light,Non-Veg,Fast Food
Classic Family Feast for 4 - Veg,Sad,Normal,Sweet,Veg,North Indian
Classic Family Feast for 4 - Chicken,Stressed,Productive,Sweet,Non-Veg,North Indian
11Pc Boneless Wings,Tired,Hectic,Light,Veg,North Indian
Choco Lava Cup,Stressed,Hectic,Sweet,Veg,North Indian
Chocolate Mousse Cup,Tired,Hectic,Sweet,Veg,North Indian
Coca Cola Medium,Tired,Lazy,Light,Veg,North Indian
Fanta Medium,Sad,Hectic,Light,Veg,North Indian
4 Crispy Veg + 2 Medium Fries,Happy,Normal,Sweet,Veg,Fast Food
6 Crispy Veg,Stressed,Lazy,Spicy,Veg,North Indian
6 Crispy Chicken,Happy,Normal,Spicy,Non-Veg,North Indian
4 Crispy Chicken + 2 Medium Fries,Tired,Productive,Heavy,Non-Veg,Fast Food
Veggie Strips(5Pcs) + 1 Dip,Sad,Lazy,Spicy,Non-Veg,North Indian
Boneless Chicken Wings(4pcs)+1Fiery Hell Dip,Happy,Normal,Light,Non-Veg,North Indian
Boneless Chicken Wings(7Pcs)+1Fiery Hell Dip,Happy,Productive,Light,Non-Veg,North Indian
1 Jr Veg Whopper +1 Chocolate Thick Shake,Sad,Lazy,Spicy,Veg,North Indian
1 Jr Chicken Whopper+1 Chocolate Thick Shake,Happy,Hectic,Spicy,Non-Veg,North Indian
2 Crispy Veg Double Patty + 1King Fries + 1Veggie strips,Tired,Productive,Sweet,Non-Veg,Fast Food
2 Crispy Veg Double Patty + 1 King Fries +1Chocolate mousse cup,Happy,Hectic,Heavy,Veg,Fast Food
Crispy Veg Double Patty + Crispy Veg Double Patty,Stressed,Hectic,Spicy,Veg,North Indian
Veg Makhani Burst + Whopper Jr Veg,Tired,Normal,Light,Veg,North Indian
BK Veggie Burger + BK Veggie Burger,Tired,Hectic,Sweet,Non-Veg,Fast Food
Crispy Chicken Double Patty + Crispy Chicken Double Patty,Sad,Hectic,Sweet,Non-Veg,North Indian
Chicken Makhani Burst + Whopper Jr Chicken,Sad,Hectic,Spicy,Non-Veg,North Indian
BK Chicken Burger + BK Chicken Burger,Tired,Productive,Sweet,Non-Veg,Fast Food
Whopper Jr Veg + Whopper Jr Veg,Tired,Lazy,Light,Veg,North Indian
Original Whopper Veg + Original Whopper Veg,Tired,Lazy,Heavy,Veg,North Indian
Original Whopper Chicken + Original Whopper Chicken,Tired,Hectic,Sweet,Non-Veg,North Indian
Crispy Veg + Med Fries + Chocolate Thick Shake,Sad,Hectic,Heavy,Veg,Fast Food
Crispy Chicken + Med Fries + Chocolate Thick Shake,Tired,Lazy,Sweet,Non-Veg,Fast Food
BK Veggie + Med Fries + Chocolate Thick Shake,Stressed,Hectic,Heavy,Non-Veg,Fast Food
BK Chicken + Med Fries + Chocolate Thick Shake,Happy,Normal,Sweet,Non-Veg,Fast Food
Original Whopper Veg + Med Fries + Chocolate Thick Shake,Sad,Normal,Sweet,Veg,Fast Food
Original Whopper Chicken + Med Fries + Chocolate Thick Shake,Happy,Productive,Heavy,Non-Veg,Fast Food
Crispy Veggie Burger.,Stressed,Hectic,Heavy,Non-Veg,Fast Food
Crispy Veggie Burger + McVeggie Burger + Fries (M).,Sad,Normal,Light,Non-Veg,Fast Food
Crispy Veggie Burger Meal (M).,Happy,Productive,Spicy,Non-Veg,Fast Food
Mc Crispy Chicken Burger.,Tired,Lazy,Sweet,Non-Veg,Fast Food
Mc Crispy Chicken Burger Meal (M).,Tired,Normal,Spicy,Non-Veg,Fast Food
Mc Crispy Chicken Burger + McChicken Burger + Fries (M).,Sad,Lazy,Spicy,Non-Veg,Fast Food
Korean Chicken Surprise Burger,Stressed,Hectic,Spicy,Non-Veg,Fast Food
Korean Chicken Surprise Burger Combo (M).,Tired,Normal,Spicy,Non-Veg,Fast Food
Korean Mc Aloo Tikki Burger,Happy,Normal,Sweet,Veg,Fast Food
Korean Mc Aloo Tikki Burger Combo (M).,Stressed,Normal,Heavy,Veg,Fast Food
Korean Mc Egg Burger,Stressed,Normal,Heavy,Non-Veg,Fast Food
Korean Mc Egg Burger Combo (M).,Tired,Hectic,Sweet,Non-Veg,Fast Food
Korean Mc Spicy Chicken Burger,Sad,Normal,Light,Non-Veg,Fast Food
Korean Mc Spicy Chicken Burger Combo (M).,Stressed,Hectic,Heavy,Non-Veg,Fast Food
Korean Mc Spicy Paneer Burger,Happy,Productive,Spicy,Veg,North Indian
Korean Mc Spicy Paneer Burger Combo (M).,Sad,Hectic,Sweet,Veg,North Indian
Korean Mc Spicy Premium Chicken Burger,Sad,Normal,Heavy,Non-Veg,Fast Food
Korean Mc Spicy Premium Chicken Burger Combo (M).,Tired,Hectic,Heavy,Non-Veg,Fast Food
Korean Mc Spicy Premium Paneer Burger,Stressed,Normal,Light,Veg,North Indian
Korean Mc Spicy Premium Paneer Burger Combo (M).,Happy,Hectic,Heavy,Veg,North Indian
Korean Yuzu-Pop Sprite,Sad,Lazy,Spicy,Veg,North Indian
McSaver Korean Chicken Surprise Burger,Tired,Normal,Light,Non-Veg,Fast Food
McSaver Korean Mc Aloo Tikki Burger,Sad,Hectic,Heavy,Veg,Fast Food
McSaver Korean Mc Egg Burger,Stressed,Productive,Sweet,Non-Veg,Fast Food
Minecraft Movie Meal - 9 Pc Chicken Nuggets.,Happy,Normal,Light,Non-Veg,North Indian
Minecraft Movie Meal - Pizza McPuff.,Stressed,Productive,Spicy,Veg,Fast Food
Chicken Surprise Burger with Multi-Millet Bun,Stressed,Productive,Heavy,Non-Veg,Fast Food
McAloo Tikki Burger with Multi-Millet Bun,Happy,Productive,Light,Veg,Fast Food
McChicken Burger with Multi-Millet Bun,Stressed,Lazy,Light,Non-Veg,Fast Food
McSpicy Chicken Burger with Multi-Millet Bun,Tired,Normal,Heavy,Non-Veg,Fast Food
McSpicy Paneer Burger with Multi-Millet Bun,Tired,Productive,Sweet,Veg,North Indian
McVeggie Burger with Multi-Millet Bun,Tired,Productive,Light,Non-Veg,Fast Food
Burger Combo for 2: McAloo Tikki,Sad,Normal,Light,Veg,Fast Food
6 Pc Chicken Nuggets + McChicken Burger + Coke,Sad,Hectic,Spicy,Non-Veg,Fast Food
Burger Combo for 2: McSpicy Chicken + McChicken,Tired,Productive,Sweet,Non-Veg,Fast Food
Burger Combo for 2: Corn & Cheese + McVeggie,Happy,Normal,Spicy,Non-Veg,Fast Food
Burger Combo for 2: McChicken Burger with Pizza McPuff,Sad,Lazy,Heavy,Non-Veg,Fast Food
Burger Combo for 2: McSpicy Chicken Burger with Pizza McPuff,Sad,Hectic,Heavy,Non-Veg,Fast Food
Burger Combo for 2: McVeggie Burger with Pizza McPuff,Happy,Normal,Spicy,Non-Veg,Fast Food
Burger Combo for 2: McSpicy Paneer + McAloo Tikki with Pizza McPuff,Tired,Lazy,Spicy,Veg,North Indian
Burger Combo for 2: McVeggie + McAloo Tikki with Pizza McPuff,Stressed,Hectic,Heavy,Non-Veg,Fast Food
Burger Combo for 2: McChicken Burger,Tired,Hectic,Heavy,Non-Veg,Fast Food
Burger Combo for 2: McSpicy Chicken Burger,Tired,Productive,Sweet,Non-Veg,Fast Food
Burger Combo for 2: McVeggie Burger,Sad,Normal,Sweet,Non-Veg,Fast Food
Burger Combo for 2: McSpicy Paneer + McAloo Tikki with Coke,Tired,Hectic,Sweet,Veg,North Indian
Burger Combo for 2: McVeggie + McAloo Tikki with Coke,Happy,Productive,Light,Non-Veg,Fast Food
Burger Combo for 2: Corn & Cheese Burger,Tired,Lazy,Sweet,Veg,Fast Food
Burger Combo for 2: Grilled Chicken & Cheese,Happy,Productive,Heavy,Non-Veg,Fast Food
Burger Combo for 2: McSpicy Deluxe Chicken Burger,Stressed,Productive,Light,Non-Veg,Fast Food
Burger Combo for 2: McSpicy Deluxe Paneer Burger,Stressed,Normal,Sweet,Veg,North Indian
Burger Combo for 2: McCheese Burger Chicken,Tired,Lazy,Light,Non-Veg,Fast Food
Burger Combo for 2: McCheese Burger Veg,Stressed,Hectic,Spicy,Veg,Fast Food
2 Crispy Veggie Burger  + 2 Fries (M) + Veg Pizza McPuff,Tired,Hectic,Heavy,Non-Veg,Fast Food
2 Crispy Veggie Burger  + Fries (L) + 2 Coke,Stressed,Normal,Light,Non-Veg,Fast Food
2 Mc Crispy Chicken Burger + 2 Fries (M) + Veg Pizza McPuff,Stressed,Productive,Heavy,Non-Veg,Fast Food
2 Mc Crispy Chicken Burger + Fries (L) + 2 Coke,Sad,Lazy,Sweet,Non-Veg,Fast Food
Crispy Veggie Burger + McVeggie Burger + Fries (M),Tired,Productive,Heavy,Non-Veg,Fast Food
Mc Crispy Chicken Burger + McChicken Burger + Fries (M),Happy,Lazy,Spicy,Non-Veg,Fast Food
Veg Pizza McPuff + McSpicy Chicken Burger,Tired,Productive,Light,Non-Veg,Fast Food
2 Cappuccino,Sad,Lazy,Heavy,Veg,North Indian
McChicken Burger + McSpicy Chicken Burger,Stressed,Normal,Light,Non-Veg,Fast Food
2 Iced Coffee,Sad,Normal,Heavy,Veg,North Indian
McVeggie Burger + McAloo Tikki Burger,Happy,Hectic,Heavy,Non-Veg,Fast Food
Strawberry Shake + Fries (M),Stressed,Normal,Spicy,Veg,Fast Food
McChicken Burger + Fries (M),Happy,Productive,Light,Non-Veg,Fast Food
McVeggie Burger + Fries (M),Stressed,Productive,Heavy,Non-Veg,Fast Food
McAloo Tikki Burger + Veg Pizza McPuff + Coke,Stressed,Normal,Heavy,Veg,Fast Food
2 Coke,Tired,Lazy,Heavy,Veg,North Indian
McAloo Tikki + Fries (R),Sad,Lazy,Light,Veg,Fast Food
Mexican McAloo Tikki Burger + Fries (R),Tired,Normal,Light,Veg,Fast Food
McChicken Burger + Veg Pizza McPuff,Sad,Productive,Spicy,Non-Veg,Fast Food
McVeggie Burger + Veg Pizza McPuff,Tired,Lazy,Heavy,Non-Veg,Fast Food
McVeggie Burger + Fries (R),Stressed,Productive,Sweet,Non-Veg,Fast Food
Mexican McAloo Tikki Burger + Fries (L),Sad,Productive,Sweet,Veg,Fast Food
McChicken Burger + Fries (L),Stressed,Lazy,Spicy,Non-Veg,Fast Food
McVeggie Burger + Fries (L),Sad,Lazy,Spicy,Non-Veg,Fast Food
2 Fries (R),Happy,Productive,Sweet,Veg,Fast Food
2 McVeggie Burger,Sad,Productive,Spicy,Non-Veg,Fast Food
Grilled Chicken & Cheese Burger + Coke,Tired,Productive,Heavy,Non-Veg,Fast Food
McAloo Tikki Burger + Veg Pizza McPuff + Fries (R),Sad,Normal,Spicy,Veg,Fast Food
McVeggie Burger + Fries (M) + Piri Piri Mix,Sad,Productive,Heavy,Non-Veg,Fast Food
McVeggie Burger + Veg Pizza McPuff + Fries (L),Happy,Normal,Spicy,Non-Veg,Fast Food
6 Pc Chicken Nuggets + Fries (M) + Piri Piri Spice Mix,Sad,Normal,Heavy,Non-Veg,Fast Food
McAloo Tikki Burger + Veg Pizza McPuff + Piri Piri Spice Mix,Sad,Hectic,Spicy,Veg,Fast Food
Grilled Chicken & Cheese Burger + Veg Pizza McPuff,Sad,Hectic,Light,Non-Veg,Fast Food
Corn & Cheese Burger + Veg Pizza McPuff,Tired,Productive,Spicy,Veg,Fast Food
Corn & Cheese Burger + Fries (R),Stressed,Lazy,Heavy,Veg,Fast Food
Corn & Cheese Burger + Coke,Happy,Lazy,Spicy,Veg,Fast Food
Chocolate Flavoured Shake+ Fries (M),Sad,Productive,Sweet,Veg,Fast Food
Corn & Cheese Burger + Coke + Fries (M) + Veg Pizza McPuff,Stressed,Normal,Sweet,Veg,Fast Food
McSpicy Chicken Burger + Fries (M) + Piri Piri Spice Mix,Happy,Lazy,Heavy,Non-Veg,Fast Food
McSpicy Paneer Burger + Fries (M) + Piri Piri Spice Mix,Happy,Productive,Light,Veg,North Indian
McSpicy Paneer + Classic Cheese Fries,Happy,Productive,Heavy,Veg,North Indian
New McSaver Chicken Surprise,Happy,Hectic,Heavy,Non-Veg,Fast Food
New McSaver Chicken Nuggets (4 Pc),Stressed,Lazy,Heavy,Non-Veg,Fast Food
New McSaver Masala McEgg,Tired,Productive,Spicy,Non-Veg,Fast Food
New McSaver McAloo Tikki,Happy,Lazy,Spicy,Veg,Fast Food
New McSaver Mexican McAloo Tikki,Stressed,Lazy,Heavy,Veg,Fast Food
New McSaver Pizza McPuff,Sad,Productive,Sweet,Veg,Fast Food
Chicken Surprise Burger + Chocolate Shake,Sad,Lazy,Sweet,Non-Veg,Fast Food
Chicken Surprise Burger + McChicken Burger,Stressed,Hectic,Spicy,Non-Veg,Fast Food
Chicken Surprise Burger + Fries (M),Stressed,Lazy,Spicy,Non-Veg,Fast Food
New McSaver McAloo Tikki NONG,Sad,Hectic,Spicy,Veg,Fast Food
New McSaver Mexican McAloo Tikki NONG,Happy,Normal,Spicy,Veg,Fast Food
Crispy Veggie Burger +  Classic Cheese Fries,Stressed,Productive,Heavy,Non-Veg,Fast Food
Crispy Veggie Burger + McAloo Tikki,Sad,Hectic,Light,Non-Veg,Fast Food
Crispy Veggie Burger + Piri Piri Fries (M),Tired,Hectic,Sweet,Non-Veg,Fast Food
Mc Crispy Chicken Burger + Piri Piri Fries (M),Sad,Hectic,Light,Non-Veg,Fast Food
Mc Crispy Chicken Burger + Classic Cheese Fries,Sad,Hectic,Sweet,Non-Veg,Fast Food
Mc Crispy Chicken Burger + McAloo Tikki,Sad,Productive,Spicy,Non-Veg,Fast Food
Chicken Surprise Burger + Cappuccino,Happy,Lazy,Light,Non-Veg,Fast Food
Chicken Surprise Burger + Cold Coffee,Sad,Productive,Sweet,Non-Veg,Fast Food
Chicken Surprise Burger + Iced Coffee,Stressed,Lazy,Sweet,Non-Veg,Fast Food
McAloo Tikki Burger + Cappuccino,Sad,Productive,Light,Veg,Fast Food
McAloo Tikki Burger + Cold Coffee,Stressed,Hectic,Spicy,Veg,Fast Food
McAloo Tikki Burger + Iced Coffee,Sad,Lazy,Spicy,Veg,Fast Food
Choco Crunch Cookie + McAloo Tikki Burger,Happy,Lazy,Sweet,Veg,Fast Food
Choco Crunch Cookie + McVeggie Burger,Sad,Hectic,Spicy,Non-Veg,Fast Food
Lemon Ice Tea + Choco Crunch Cookie,Sad,Hectic,Sweet,Veg,Fast Food
Veg Pizza McPuff + Choco Crunch Cookie,Tired,Hectic,Spicy,Veg,Fast Food
2 Korean Mc Spicy Chicken Burger,Tired,Hectic,Spicy,Non-Veg,Fast Food
2 Korean Mc Spicy Paneer Burger,Happy,Normal,Sweet,Veg,North Indian
Korean Chicken Surprise Burger + Korean Mc Spicy Chicken Burger,Happy,Productive,Heavy,Non-Veg,Fast Food
Korean Chicken Surprise Burger + Korean Yuzu-Pop Sprite,Stressed,Lazy,Heavy,Non-Veg,Fast Food
Korean Mc Aloo Tikki Burger + Korean Mc Spicy Paneer Burger,Stressed,Hectic,Heavy,Veg,North Indian
Korean Mc Aloo Tikki Burger+ Korean Yuzu-Pop Sprite,Happy,Hectic,Light,Veg,Fast Food
Korean Mc Spicy Chicken Burger +Korean Yuzu- Pop Sprite Combo,Stressed,Hectic,Sweet,Non-Veg,Fast Food
Korean Mc Spicy Paneer Burger +Korean Yuzu- Pop Sprite Combo,Stressed,Lazy,Spicy,Veg,North Indian
McSaver Korean Chicken Surprise Burger.,Sad,Hectic,Spicy,Non-Veg,Fast Food
McSaver Korean Mc Aloo Tikki Burger.,Tired,Lazy,Spicy,Veg,Fast Food
McSaver Korean Mc Egg Burger.,Sad,Hectic,Heavy,Non-Veg,Fast Food
Korean Chicken Surprise + Korean Shake Shake Fries (M),Stressed,Hectic,Heavy,Non-Veg,Fast Food
Korean Mc Aloo Tikki Burger+ Korean Shake Shake Fries (M),Tired,Normal,Sweet,Veg,Fast Food
Korean Mc Spicy Chicken Burger  + Korean Shake Shake Fries (M),Happy,Lazy,Spicy,Non-Veg,Fast Food
Korean Mc Spicy Paneer Burger + Korean Shake Shake Fries (M),Stressed,Normal,Heavy,Veg,North Indian
Korean Shake Shake Chicken Nuggets 6 pc.,Sad,Hectic,Spicy,Non-Veg,Fast Food
Korean Shake Shake Fries (M).,Sad,Normal,Spicy,Veg,Fast Food
McVeggie Double Patty Burger Combo,Tired,Lazy,Light,Non-Veg,Fast Food
McChicken Double Patty Burger Combo,Tired,Hectic,Sweet,Non-Veg,Fast Food
McSpicy Chicken Double Patty Burger combo,Happy,Normal,Sweet,Non-Veg,Fast Food
Mexican McAloo Tikki Double Patty Burger Combo,Stressed,Lazy,Heavy,Veg,Fast Food
McAloo Tikki Burger Happy Meal,Stressed,Hectic,Heavy,Veg,Fast Food
McChicken Burger Happy Meal,Happy,Normal,Spicy,Non-Veg,Fast Food
Grilled Cheese and Chicken Burger Combo,Stressed,Hectic,Heavy,Non-Veg,Fast Food
McVeggie Burger Happy Meal,Sad,Productive,Sweet,Non-Veg,Fast Food
McChicken Burger Combo,Stressed,Normal,Heavy,Non-Veg,Fast Food
Veg Maharaja Mac Burger Combo,Stressed,Hectic,Sweet,Veg,Fast Food
McVeggie Burger Combo,Tired,Normal,Heavy,Non-Veg,Fast Food
Filet-O-Fish Burger Combo,Stressed,Lazy,Spicy,Non-Veg,Fast Food
McSpicy Chicken Burger Combo,Happy,Productive,Sweet,Non-Veg,Fast Food
Big Spicy Paneer Wrap Combo,Stressed,Hectic,Heavy,Veg,North Indian
Corn & cheese Burger Combo,Tired,Productive,Heavy,Veg,Fast Food
Big Spicy Chicken Wrap Combo,Happy,Hectic,Sweet,Non-Veg,Fast Food
Chicken Maharaja Mac Burger Combo,Tired,Normal,Light,Non-Veg,Fast Food
McSpicy Paneer Burger Combo,Stressed,Normal,Spicy,Veg,North Indian
9 Pc Chicken Nuggets Combo,Happy,Hectic,Heavy,Non-Veg,Fast Food
Masala McEgg Burger Combo,Stressed,Productive,Sweet,Non-Veg,Fast Food
McEgg Burger Happy Meal,Sad,Normal,Light,Non-Veg,Fast Food
McSpicy Premium Burger Veg Combo,Tired,Lazy,Spicy,Veg,Fast Food
McCheese Burger Chicken Combo,Sad,Hectic,Spicy,Non-Veg,Fast Food
McCheese Burger Veg Combo,Stressed,Hectic,Heavy,Veg,Fast Food
McSpicy Premium Burger Chicken Combo,Happy,Productive,Light,Non-Veg,Fast Food
2 Pc Chicken Nuggets Happy Meal,Happy,Productive,Light,Non-Veg,Fast Food
4 Pc Chicken Nuggets Happy Meal,Tired,Hectic,Light,Non-Veg,Fast Food
McSpicy Deluxe Chicken Burger Combo,Sad,Lazy,Heavy,Non-Veg,Fast Food
McSpicy Deluxe Paneer Burger Combo,Sad,Productive,Sweet,Veg,North Indian
McAloo Tikki Burger Combo,Happy,Lazy,Light,Veg,Fast Food
McAloo Tikki Double Patty Burger Combo,Tired,Lazy,Heavy,Veg,Fast Food
McSpicy Deluxe Chicken Double Patty Burger Combo,Tired,Lazy,Light,Non-Veg,Fast Food
Mexican McAloo Tikki Burger Combo,Happy,Lazy,Spicy,Veg,Fast Food
Chicken McNuggets 6 Pcs Combo,Sad,Hectic,Sweet,Non-Veg,Fast Food
Chicken Surprise Burger + 4 Pc Chicken McNuggets + Coke,Tired,Hectic,Sweet,Non-Veg,Fast Food
McAloo Tikki NONG Burger Combo ( M),Tired,Productive,Spicy,Veg,Fast Food
Mexican McAloo Tikki NONG Burger Combo ( M),Sad,Productive,Light,Veg,Fast Food
Chicken Surprise Burger Combo,Tired,Productive,Heavy,Non-Veg,Fast Food
Crispy Veggie Burger Meal (M),Tired,Lazy,Spicy,Non-Veg,Fast Food
Mc Crispy Chicken Burger Meal (M),Tired,Lazy,Light,Non-Veg,Fast Food
McAloo Tikki Burger with Cheese Combo ( M),Sad,Productive,Sweet,Veg,Fast Food
Mexican McAloo Tikki Burger with Cheese Combo ( M),Tired,Productive,Spicy,Veg,Fast Food
Choco Crunch Cookie + McAloo Tikki Burger + Lemon Ice Tea,Stressed,Productive,Light,Veg,Fast Food
Veg Pizza McPuff + Choco Crunch Cookie + Americano,Happy,Hectic,Light,Veg,Fast Food
Korean Chicken Surprise Burger Combo (M),Stressed,Normal,Light,Non-Veg,Fast Food
Korean Mc Aloo Tikki Burger Combo (M),Tired,Productive,Spicy,Veg,Fast Food
Korean Mc Egg Burger Combo (M),Tired,Normal,Sweet,Non-Veg,Fast Food
Korean Mc Spicy Chicken Burger Combo (M),Happy,Hectic,Sweet,Non-Veg,Fast Food
Korean Mc Spicy Paneer Burger Combo (M),Tired,Hectic,Light,Veg,North Indian
Korean Mc Spicy Premium Chicken Burger Combo (M),Stressed,Productive,Spicy,Non-Veg,Fast Food
Korean Mc Spicy Premium Paneer Burger Combo (M),Tired,Normal,Spicy,Veg,North Indian
Minecraft Movie Meal - 9 Pc Chicken Nuggets,Tired,Lazy,Light,Non-Veg,Fast Food
Minecraft Movie Meal - Pizza McPuff,Happy,Lazy,Sweet,Veg,Fast Food
Minecraft Movie Meal - Chicken Surprise,Happy,Lazy,Sweet,Non-Veg,Fast Food
Minecraft Movie Meal - McAloo Tikki,Sad,Normal,Spicy,Veg,Fast Food
McSpicy Chicken Double Patty Burger,Happy,Hectic,Heavy,Non-Veg,Fast Food
McChicken Double Patty Burger,Tired,Normal,Light,Non-Veg,Fast Food
McVeggie Double Patty Burger,Tired,Normal,Sweet,Non-Veg,Fast Food
Mexican McAloo Tikki Double Patty Burger,Stressed,Productive,Sweet,Veg,Fast Food
McAloo Tikki Double Patty Burger,Tired,Normal,Heavy,Veg,Fast Food
Chicken Maharaja Mac Burger,Tired,Lazy,Spicy,Non-Veg,Fast Food
Veg Maharaja Mac Burger,Happy,Normal,Heavy,Veg,Fast Food
McSpicy Paneer Burger,Stressed,Normal,Heavy,Veg,North Indian
Big Spicy Chicken Wrap,Stressed,Productive,Light,Non-Veg,Fast Food
Mexican McAloo Tikki Burger,Sad,Normal,Heavy,Veg,Fast Food
McSpicy Chicken Burger,Happy,Productive,Heavy,Non-Veg,Fast Food
McChicken Burger,Happy,Productive,Heavy,Non-Veg,Fast Food
Corn & Cheese Burger,Happy,Normal,Spicy,Veg,Fast Food
Big Spicy Paneer Wrap,Tired,Normal,Heavy,Veg,North Indian
McVeggie Burger,Stressed,Hectic,Light,Non-Veg,Fast Food
Grilled Chicken & Cheese Burger,Tired,Hectic,Light,Non-Veg,Fast Food
McAloo Tikki Burger,Stressed,Normal,Light,Veg,Fast Food
Masala McEgg Burger,Happy,Lazy,Spicy,Non-Veg,Fast Food
McCheese Burger Chicken,Stressed,Hectic,Spicy,Non-Veg,Fast Food
McCheese Burger Veg,Tired,Normal,Spicy,Veg,Fast Food
McSpicy Premium Chicken Burger,Stressed,Hectic,Heavy,Non-Veg,Fast Food
McSpicy Premium Veg Burger,Tired,Hectic,Light,Veg,Fast Food
Filet-O-Fish Burger,Tired,Normal,Spicy,Non-Veg,Fast Food
McSpicy Deluxe Chicken Burger,Stressed,Lazy,Heavy,Non-Veg,Fast Food
McSpicy Deluxe Paneer Burger,Stressed,Normal,Sweet,Veg,North Indian
McSpicy Deluxe Chicken Double Patty Burger,Happy,Normal,Light,Non-Veg,Fast Food
Chicken Surprise Burger,Stressed,Productive,Light,Non-Veg,Fast Food
McAloo Tikki Burger NONG,Sad,Productive,Heavy,Veg,Fast Food
Mexican McAloo Tikki Burger NONG,Sad,Lazy,Sweet,Veg,Fast Food
Crispy Veggie Burger,Stressed,Lazy,Spicy,Non-Veg,Fast Food
Mc Crispy Chicken Burger,Tired,Hectic,Light,Non-Veg,Fast Food
McAloo Tikki Burger with Cheese,Tired,Hectic,Sweet,Veg,Fast Food
Mexican McAloo Tikki with Cheese,Happy,Hectic,Spicy,Veg,Fast Food
Korean Chicken Surprise Burger.,Sad,Lazy,Sweet,Non-Veg,Fast Food
Korean Mc Aloo Tikki Burger.,Happy,Hectic,Light,Veg,Fast Food
Korean Mc Egg Burger.,Tired,Lazy,Heavy,Non-Veg,Fast Food
Korean Mc Spicy Chicken Burger.,Stressed,Productive,Sweet,Non-Veg,Fast Food
Korean Mc Spicy Paneer Burger.,Happy,Hectic,Light,Veg,North Indian
Korean Mc Spicy Premium Chicken Burger.,Stressed,Productive,Sweet,Non-Veg,Fast Food
Korean Mc Spicy Premium Paneer Burger.,Tired,Productive,Light,Veg,North Indian
Piri Piri Spice Mix,Stressed,Productive,Spicy,Veg,Fast Food
Fries (Regular),Happy,Normal,Light,Veg,Fast Food
